class,metric
sky,0.8695
road,0.8644
car,0.7755
vegetation,0.7174
building,0.6998
sidewalk,0.5012
terrain,0.3985
wall,0.3911
bus,0.3869
fence,0.3549
truck,0.3066
person,0.2795
traffic sign,0.2665
bicycle,0.2395
traffic light,0.2099
pole,0.2004
motorcycle,0.0024
train,0.0000
rider,0.0000
