class,metric
sky,0.7700
road,0.7647
vegetation,0.6675
car,0.6647
building,0.5892
sidewalk,0.4393
terrain,0.2835
person,0.2739
fence,0.2462
pole,0.1948
wall,0.1880
traffic sign,0.1864
bicycle,0.1735
truck,0.1591
traffic light,0.1502
bus,0.0699
train,0.0000
rider,0.0000
motorcycle,0.0000
