class,metric
road,0.6448
vegetation,0.4259
car,0.3812
sky,0.3803
building,0.3399
sidewalk,0.1825
fence,0.1556
pole,0.1010
person,0.0677
traffic sign,0.0529
terrain,0.0500
traffic light,0.0462
wall,0.0411
bicycle,0.0306
truck,0.0291
bus,0.0126
train,0.0000
rider,0.0000
motorcycle,0.0000
